support_id,customerid,complaint_date,escalations,csat_score,issue_category,comment
1,CUST-0042,2020-02-14 00:00:00,0,4.0,Streaming,Video buffers every evening
2,CUST-0120,2021-11-03 00:00:00,1,3.0,Billing,Payment deducted twice
3,CUST-0120,2022-01-15 00:00:00,1,2.0,Billing,Still waiting for refund
4,CUST-0333,2023-06-20 00:00:00,0,5.0,Login,Cannot login after password reset
5,CUST-0333,2023-06-20 00:00:00,0,5.0,Login,Cannot login after password reset
6,CUST-0599,2024-09-01 00:00:00,2,1.0,Subscription,Subscription renewed unexpectedly
7,CUST-0005,2022-03-10 00:00:00,0,4.0,Streaming,Playback freezes occasionally
8,CUST-0005,2022-03-12 00:00:00,1,3.0,Technical,Escalated to technical team
9,CUST-0450,2021-07-07 00:00:00,0,5.0,Content,Love the new shows
10,CUST-0450,2021-07-07 00:00:00,0,5.0,Content,Love the new shows
11,CUST-0211,2020-12-30 00:00:00,1,2.0,Payment,Payment failed repeatedly
12,CUST-0211,2021-01-02 00:00:00,2,1.0,Payment,Charged after cancellation
13,CUST-0399,2022-08-19 00:00:00,0,4.0,App,App keeps crashing
14,CUST-0399,2022-08-20 00:00:00,1,2.0,App,Still facing issue
15,CUST-0175,2023-02-11 00:00:00,0,5.0,Recommendation,Recommendation quality is poor
16,CUST-0175,2023-02-12 00:00:00,0,5.0,Recommendation,Satisfied with support
17,CUST-0600,2021-05-05 00:00:00,3,1.0,Technical,Audio out of sync
18,CUST-0600,2021-05-06 00:00:00,3,1.0,Technical,Audio out of sync
19,CUST-0600,2021-06-01 00:00:00,4,1.0,Device,Unable to stream on TV
20,CUST-0031,2020-10-22 00:00:00,0,4.0,Billing,Need invoice copy
21,CUST-0031,2021-04-12 00:00:00,1,3.0,Billing,No update yet
22,CUST-0488,2022-11-30 00:00:00,0,5.0,General Inquiry,Issue resolved
23,CUST-0488,2022-12-01 00:00:00,0,5.0,General Inquiry,Problem fixed
24,CUST-0277,2020-01-01 00:00:00,1,,Payment,No Comment
